price,want_person,look_time,area,title,url
4,0,3,"['广州', '天河']",新概念英语第四册,http://zhuanzhuan.58.com/detail/892270344028717069z.shtml
320,1,108,"['广州', '花都']",超威电池,http://zhuanzhuan.58.com/detail/892181324636438534z.shtml
288,0,79,"['广州', '增城']",苹果 iPhone4s 备用机之王 苹果4s,http://zhuanzhuan.58.com/detail/892305292059901964z.shtml
1880,1,137,"['广州', '东莞']",the one钢琴，ipad mini1,http://zhuanzhuan.58.com/detail/877772699071430665z.shtml
520,0,134,"['广州', '佛山']",闲置二手Bose soundsport wireless博士,http://zhuanzhuan.58.com/detail/875146438210732045z.shtml
150,0,10,"['广州', '天河']",2017执业药师中药学 书及配套练习及试卷,http://zhuanzhuan.58.com/detail/891574216168898573z.shtml
25,4,958,"['广州', '白云']",华硕光驱,http://zhuanzhuan.58.com/detail/740931859828965378z.shtml
2500,0,102,"['广州', '萝岗']",买来几个月，因资金不够用，现在出买,http://zhuanzhuan.58.com/detail/892027190181986310z.shtml
4800,0,18,"['天津', '河北']",国行苹果iPad pro 12.9寸 128G,http://zhuanzhuan.58.com/detail/892280607049908233z.shtml
1480,1,124,"['广州', '白云']",英特尔i3双核游戏办公家用台式机电脑,http://zhuanzhuan.58.com/detail/891152879661105159z.shtml
499,11,891,"['广州', '黄埔']",surface?rt1?RT2?32?64?顶配 微软,http://zhuanzhuan.58.com/detail/871910202102448136z.shtml
400,3,227,"['广州', '白云']",搬家卖掉小天鹅5kg洗衣机，白云区马务,http://zhuanzhuan.58.com/detail/891683097936838664z.shtml
38,0,8,"['广州', '花都']",婧氏牙膏可单卖可整套,http://zhuanzhuan.58.com/detail/887512474809286662z.shtml
760,35,5674,"['广州', '天河']",华为 Mate 7 出自用mate7做备用机用的，保养好。,http://zhuanzhuan.58.com/detail/834050725579259910z.shtml
359,20,9988,"['深圳', '福田']",苹果 iPhone4s 自用苹果4s 16g 大陆行货，戴套贴膜无磕碰 8.5成新,http://zhuanzhuan.58.com/detail/690136294356910084z.shtml
530,0,163,"['广州', '番禺']",尼康数码相机,http://zhuanzhuan.58.com/detail/855757895489880076z.shtml
29,0,57,"['广州', '白云']",苹果安卓手机通用蓝牙耳机,http://zhuanzhuan.58.com/detail/883156961890189323z.shtml
2500,11,1276,"['广州', '天河']",苹果 iPhone6s Iphone6s,http://zhuanzhuan.58.com/detail/885881573552996358z.shtml
70,5,2027,"['广州', '白云']",青花瓷无线鼠标、U盘（8G）、笔套装,http://zhuanzhuan.58.com/detail/720171223026581506z.shtml
200,17,5954,"['广州', '白云']",国行ipod touch8g,http://zhuanzhuan.58.com/detail/729659699866337282z.shtml
1700,1,99,"['广州', '白云']",自用本田小公主,http://zhuanzhuan.58.com/detail/892289398638936589z.shtml
18,0,132,"['广州', '白云']",吹风筒 风力强大 实用好用 真心好,http://zhuanzhuan.58.com/detail/775583014119456772z.shtml
27,0,32,"['广州', '广州周边']",吹风机,http://zhuanzhuan.58.com/detail/892305779462619142z.shtml
15,0,42,"['广州', '海珠']",旅行包，质量不错！扔了可惜了！有用得上给钱就拿走！,http://zhuanzhuan.58.com/detail/887358433174601737z.shtml
265,0,25,"['广州', '番禺']",19寸液晶显示器,http://zhuanzhuan.58.com/detail/890831780568956936z.shtml
1000,0,580,"['广州', '荔湾']",一直闲置，没怎么用过。,http://zhuanzhuan.58.com/detail/873872580665950214z.shtml
4500,0,13,"['广州', '白云']",惠普HP暗影精灵II代 15.6英寸游戏笔记本,http://zhuanzhuan.58.com/detail/891558106331660300z.shtml
150,0,73,"['广州', '番禺']",高景观婴儿推车,http://zhuanzhuan.58.com/detail/891159728410591240z.shtml
2800,0,226,"['广州', '白云']",收购一个iPad pro 9.7 32G 保修3个月以上,http://zhuanzhuan.58.com/detail/878151362311798795z.shtml
